作答ID,用户ID,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,音乐A,您对音频A的感受评价是？,音乐B,您对音频B的感受评价是？,音乐C,您对音频C的感受评价是？,音乐D,您对音频D的感受评价是？,音乐E,您对音频E的感受评价是？,音乐F,您对音频F的感受评价是？,音乐G,您对音频G的感受评价是？,音乐H,您对音频H的感受评价是？,音乐Z,您对音频Z的感受评价是？,音乐I,您对音频I的感受评价是？,音乐J,您对音频J的感受评价是？,音乐K,您对音频K的感受评价是？,音乐L,您对音频L的感受评价是？,音乐M,您对音频M的感受评价是？,音乐N,您对音频N的感受评价是？,音乐O,您对音频O的感受评价是？,音乐P,您对音频P的感受评价是？,在刚才的音频片段中，你是否听到了人声演唱或说唱？如果有，请判断主要是男声还是女声。,音乐Q,您对音频Q的感受评价是？,音乐R,您对音频R的感受评价是？,音乐S,您对音频S的感受评价是？,音乐T,您对音频T的感受评价是？,音乐U,您对音频U的感受评价是？,音乐V,您对音频V的感受评价是？,音乐v,您对音频v的感受评价是？,音乐W,您对音频W的感受评价是？,音乐X,您对音频X的感受评价是？,音乐Y,您对音频Y的感受评价是？,下面是一些描述人们性格特点的句子，请根据每个句子与您的性格相符程度选择相应的数字。??例如：“在集体活动中，我是个活跃分子”非常恰当的描述您，那么请您在“6=完全同意”上画圈，依此类推。每个人的性格各不相同，所以答案没有对错之分，请根据您的实际情况作答。1=完全不符合，2=大部分不符合，3=有点不符合，4=有点符合，5=大部分符合，6=完全符合,我常感到害怕,一旦确定了目标，我会坚持努力地实现它,我觉得大部分人基本上是心怀善意的,我头脑中经常充满生动的画面,我对人多的聚会感到乏味,此题请选择1,有时我觉得自己一无是处,我常常是仔细考虑之后才做出决定,我不太关心别人是否受到不公正的待遇,我是个勇于冒险，突破常规的人,在热闹的聚会上，我常常表现主动并尽情玩耍,别人一句漫不经心的话，我常会联系在自己身上,别人认为我是个慎重的人,我时常觉得别人的痛苦与我无关,我喜欢冒险,我尽量避免参加人多的聚会和嘈杂的环境,在面对压力时，我有种快要崩溃的感觉,我喜欢一开头就把事情计划好,我是那种只照顾好自己，不替别人担忧的人,我对许多事情有着很强的好奇心,有我在的场合一般不会冷场,我常担忧一些无关紧要的事情,我工作或学习很勤奋,虽然社会上有些骗子，但我觉得大部分人还是可信的,我身上具有别人没有的冒险精神,在一个团体中，我希望处于领导地位,我常常感到内心不踏实,我是个倾尽全力做事的人,当别人向我诉说不幸时，我常感到难过,我渴望学习一些新东西，即使它们与我的日常生活无关,别人多认为我是一个热情和友好的人,我常担心有什么不好的事情要发生,在工作上，我常只求能应付过去便可,尽管人类社会存在着一些阴暗的东西（如战争、罪恶、欺诈），我仍然相信人性总的来说是善良的,我的想象力相当丰富,我喜欢参加社交与娱乐聚会,我很少感到忧郁或沮丧,做事讲究逻辑和条理是我的一个特点,我常为那些遭遇不幸的人感到难过,我很愿意也很容易接受那些新事物、新观点、新想法,我希望成为领导者而不是被领导者,请问您在音乐知识或演奏技能方面的熟悉程度如何？,您对音乐的接触频率是？,您的性别是？,您的年龄是？,您的主要职业是？,您从小到18岁主要在哪个城市/地区生活？,您目前或过去半年主要居住地是哪里？,,
lxzjWKZRbEq,oe41vpXM,2025/4/4 23:45,2025/4/5 0:03,1112,1,rQrY32,音乐片段感受调研问卷_见数数据库4,39.144.249.105,117.3497222,23.683722,福建省,漳州市,MOBILE,iOS,Apple WebKit,375px*812px,"U4,U1,test1,C2,M1,U3,I1,M2,C4,test2,I3,S1,U5,C3,M5,U2,S5,I2,M3,S2,C1,S3,M4,I5,S4,C5,I4",1,3,1,4,1,2,1,5,1,3,1,5,1,4,1,5,1,5,1,3,1,5,1,2,1,3,1,3,1,4,1,3,1,5,没有出现人声,1,6,1,6,1,6,1,4,1,3,1,5,1,5,1,5,1,5,1,4,1,4,5,6,4,2,1,3,6,2,5,5,2,4,2,5,3,5,5,2,5,4,4,5,5,3,3,4,5,5,5,6,5,2,5,5,4,4,5,5,4,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里有3~5天会听音乐，每次时长不限,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),福建省漳州市,漳州市,0,0
vNz1nwRyGkx,AM9N2gV7,2025/4/4 23:46,2025/4/5 0:03,1024,1,rQrY32,音乐片段感受调研问卷_见数数据库4,101.70.120.117,120.208263,30.175752,浙江省,杭州市,MOBILE,Android,Chrome,377px*810px,"S2,M2,I4,C3,S3,C1,U1,C4,U2,M5,M3,I1,C5,U4,M4,U5,M1,I3,S1,S5,test2,C2,U3,test1,I2,S4,I5",1,4,1,5,1,5,1,6,1,5,1,5,1,5,1,5,1,4,1,5,1,5,1,6,1,5,1,7,1,6,1,4,1,6,没有出现人声,1,6,1,7,1,6,1,6,1,4,1,4,1,4,1,6,1,5,1,7,1,1,5,2,5,5,1,3,5,6,5,2,4,5,5,4,6,4,5,5,5,5,4,5,2,5,5,4,5,3,5,4,1,3,3,6,2,4,5,1,5,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),黑龙江,天津,1,0
vNzE5VAwrOV,J7qWppqe,2025/4/4 23:46,2025/4/4 23:59,798,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.147.16,118.3764691,33.7615937,江苏省,宿迁市,MOBILE,iOS,Apple WebKit,390px*844px,"M1,test1,M4,C4,C1,U1,U4,I4,I3,C3,U2,U3,S1,S3,test2,I1,I2,S5,I5,M3,C5,M5,C2,S2,U5,M2,S4",1,6,1,6,2,5,1,5,1,5,1,5,2,5,1,6,1,6,1,5,1,6,1,5,1,5,1,5,1,6,1,4,1,5,没有出现人声,1,5,1,4,2,4,1,5,2,6,1,4,1,5,1,5,3,6,2,5,1,1,5,5,5,1,1,1,5,1,5,5,1,5,1,5,1,1,5,1,5,5,1,5,5,5,5,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里1~2天会听音乐,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),江苏宿迁,江苏宿迁,0,-1
Q4x6EV6VBRW,KLOdOQde,2025/4/4 23:46,2025/4/4 23:59,767,1,rQrY32,音乐片段感受调研问卷_见数数据库4,106.16.201.110,113.035669,28.216216,湖南省,长沙市,MOBILE,Android,Chrome,320px*715px,"M2,I2,M4,test1,C2,U2,S1,I4,I3,U3,S5,S3,test2,C4,U1,I1,U4,M5,S4,C1,C3,U5,C5,M3,M1,S2,I5",1,4,1,5,1,5,1,5,1,5,1,6,1,5,1,5,1,4,1,5,1,5,1,5,1,5,1,5,1,5,1,6,1,5,没有出现人声,15,3,1,2,1,2,1,3,1,5,1,5,1,4,1,5,13,6,1,4,1,2,6,5,6,2,1,2,6,2,4,4,2,4,2,4,2,3,5,2,5,4,2,4,5,4,4,2,6,5,5,5,2,1,5,6,4,5,6,5,5,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),江苏省徐州市,江苏省南京市,1,1
mnmEY3xYB14,5M2Qmdke,2025/4/4 23:45,2025/4/4 23:58,799,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.132.202,113.056117,28.216216,湖南省,长沙市,MOBILE,Android,Chrome,360px*800px,"M3,S2,U5,C4,test2,I4,C5,test1,S1,I2,U3,S4,C3,I3,M1,M2,I1,S3,M5,I5,S5,C1,U1,M4,U2,U4,C2",1,5,1,5,1,5,1,6,1,4,1,6,1,4,1,5,1,6,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,没有出现人声,1,2,1,4,1,3,1,3,1,6,1,4,1,3,1,5,1,6,1,4,1,2,6,5,5,2,1,1,6,2,4,4,2,5,3,3,2,2,5,2,6,4,2,5,5,3,4,2,6,5,5,5,3,1,5,5,4,5,6,5,6,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),湖南省邵阳市,湖南省长沙市,-1,1
gnBxGdZPGdQ,kMrDOakL,2025/4/4 23:39,2025/4/4 23:58,1178,1,rQrY32,音乐片段感受调研问卷_见数数据库4,220.169.161.13,113.1010666,29.3769901,湖南省,岳阳市,MOBILE,iOS,WeChat,430px*932px,"test1,S5,U1,C2,C5,C3,I3,test2,C1,U5,M5,I4,I5,U3,C4,I1,U4,U2,S1,M4,M2,M1,S2,I2,M3,S4,S3",1,3,1,5,1,5,4,5,1,2,1,5,1,5,1,4,1,5,3,6,1,5,1,2,4,3,1,4,1,6,1,3,1,5,没有出现人声,3,5,1,6,4,4,4,3,1,6,4,6,1,5,4,2,4,7,1,3,1,4,6,5,5,2,1,4,5,1,3,5,4,3,4,4,2,5,6,2,5,3,2,2,4,3,4,5,4,3,6,4,6,1,3,4,4,2,3,5,6,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，且每天超过 2 小时,男,18-25岁,初高中学生/大学生/研究生/博士,宜春,岳阳,-1,1
nN6ErG5gdgd,leN6dbme,2025/4/4 23:36,2025/4/4 23:56,1225,1,rQrY32,音乐片段感受调研问卷_见数数据库4,113.68.182.226,113.179795,23.455341,广东省,广州市,MOBILE,Android,WeChat,400px*867px,"C2,U4,M1,M5,I3,I2,M3,S2,I1,U1,U5,I4,test2,test1,C5,I5,S3,S4,C4,M2,C1,S5,U2,C3,M4,U3,S1",1,5,1,2,1,3,1,2,1,2,1,5,1,2,1,3,1,2,1,6,1,6,1,2,1,3,1,3,1,2,1,2,1,7,没有出现人声,1,6,1,6,1,7,1,7,1,5,1,6,1,5,1,2,1,5,1,6,1,1,6,6,6,1,1,1,5,2,5,6,2,5,2,5,1,1,5,2,5,5,2,6,6,5,6,1,5,5,5,5,2,1,6,5,6,6,6,6,5,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,35-44岁,领导干部(公司/企业/事业单位/党政机关),深圳市,广州市,1,1
XObQXyv35jj,DMxvE5aL,2025/4/4 23:43,2025/4/4 23:55,732,1,rQrY32,音乐片段感受调研问卷_见数数据库4,182.98.48.233,114.940278,25.85097,江西省,赣州市,MOBILE,Android,Chrome,388px*883px,"U5,I2,M2,S4,S1,S5,I4,M4,M3,I1,C1,U2,U1,test2,C4,M1,I5,test1,M5,C3,C5,C2,S2,S3,I3,U4,U3",1,6,1,4,1,7,1,4,1,7,1,4,1,4,1,6,1,6,1,2,1,5,1,6,1,6,1,7,1,5,1,5,1,1,没有出现人声,1,1,11,1,1,1,1,1,1,2,1,2,1,1,1,3,1,2,1,2,1,2,5,5,6,2,1,2,5,2,4,5,1,4,2,4,1,2,4,1,6,4,1,5,5,5,6,1,6,4,5,5,2,2,5,4,5,6,5,5,6,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,男,35-44岁,普通职员(公司/企业/事业单位/党政机关),福建,江西,0,1
bNGjv9XwznR,8MZ2Va8M,2025/4/4 23:42,2025/4/4 23:54,715,1,rQrY32,音乐片段感受调研问卷_见数数据库4,182.102.66.110,115.892151,28.676493,江西省,南昌市,MOBILE,Android,Chrome,393px*873px,"test1,S2,S1,U4,S4,I3,I1,M3,I5,M2,I2,C5,C4,S3,C1,I4,test2,U2,C2,M1,C3,U5,S5,M5,U1,M4,U3",1,6,1,5,1,6,1,6,1,4,1,4,1,3,1,5,1,5,1,5,1,6,1,5,1,5,1,7,1,5,1,5,1,2,没有出现人声,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,2,1,1,1,2,1,1,6,5,6,1,1,2,4,1,5,5,2,4,2,4,2,2,4,1,6,4,3,5,5,5,5,2,5,5,5,4,2,2,6,6,6,6,4,5,5,6,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,男,45-54岁,普通职员(公司/企业/事业单位/党政机关),宜春,吉安,0,-1
Q4x6yEgARkq,Ke5NgnNM,2025/4/4 23:25,2025/4/4 23:46,1253,1,rQrY32,音乐片段感受调研问卷_见数数据库4,58.51.49.58,112.1310261,32.0387578,湖北省,襄阳市,COMPUTER,Windows,Chrome,1951px*1098px,"C5,C2,M1,M4,I1,C3,U5,S5,S1,test1,U3,S4,U2,I4,S3,S2,test2,I2,U4,M3,C4,I5,C1,I3,M2,M5,U1",1,5,1,4,1,7,1,6,1,4,1,7,1,7,1,7,1,6,1,5,1,7,1,4,1,5,1,7,1,5,1,5,1,3,没有出现人声,1,1,1,2,1,1,1,1,1,3,1,3,1,4,1,2,1,4,1,4,1,3,6,5,5,4,1,3,4,1,4,5,5,4,1,3,4,5,6,2,6,4,2,4,5,3,6,3,6,5,5,5,4,2,6,5,5,2,4,6,5,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,35-44岁,领导干部(公司/企业/事业单位/党政机关),襄阳,襄阳,1,-1
vNzErk8Nb1b,pLzlbOkM,2025/4/4 23:28,2025/4/4 23:45,1000,1,rQrY32,音乐片段感受调研问卷_见数数据库4,117.152.68.222,114.382563,30.468995,湖北省,武汉市,MOBILE,Android,WeChat,400px*890px,"M4,I5,S2,I1,test1,S1,I2,S5,U2,C4,C3,S4,U3,M1,I4,S3,U4,C1,M3,I3,test2,M5,U5,M2,U1,C5,C2",1,4,1,3,1,5,1,6,1,3,1,5,1,5,1,5,1,5,1,6,1,6,1,6,1,5,1,6,1,7,1,4,2,5,没有出现人声,1,7,1,6,1,5,1,7,1,5,1,5,1,4,1,3,1,5,1,6,1,1,6,5,5,4,1,1,5,1,5,2,1,4,1,6,4,1,5,1,5,3,1,5,5,4,5,1,6,5,6,4,1,1,5,5,2,5,5,6,6,6,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里有3~5天会听音乐，每次时长不限,女,35-44岁,工厂技术人员/工厂主管,恩琪,武汉,0,1
XObQnrN0Zr8,pLzlvg1M,2025/4/4 23:28,2025/4/4 23:45,986,1,rQrY32,音乐片段感受调研问卷_见数数据库4,58.247.23.102,121.487898,31.381358,上海市,市辖区,MOBILE,Android,WeChat,400px*889px,"M5,U1,S4,C3,U3,test2,test1,M3,I2,I4,I3,C4,M1,C1,C5,C2,S5,S3,U5,U4,M4,S1,I5,S2,U2,M2,I1",1,5,1,6,1,6,1,6,1,6,1,7,1,5,1,7,1,6,1,7,1,6,1,5,1,5,1,6,1,5,1,7,1,1,没有出现人声,1,1,1,3,1,2,1,2,1,3,1,4,1,3,1,2,1,3,1,4,1,1,4,5,6,1,1,3,5,2,6,5,3,6,2,5,3,1,6,1,4,4,1,6,5,5,6,1,6,5,5,5,3,2,6,6,5,6,6,5,5,6,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,男,55-64岁,领导干部(公司/企业/事业单位/党政机关),济南,上海,1,1
gnBxz5vlGOO,DMxzqlmL,2025/4/4 23:27,2025/4/4 23:43,947,1,rQrY32,音乐片段感受调研问卷_见数数据库4,180.164.78.150,121.484173,31.404204,上海市,市辖区,MOBILE,Android,WeChat,400px*889px,"C3,M4,C4,U5,U4,I1,I3,C1,I5,U3,I4,test1,S5,M3,C5,I2,S3,M1,S4,S1,test2,U2,M2,S2,U1,C2,M5",1,5,1,5,1,5,1,5,17,5,1,7,1,6,1,6,1,6,1,6,1,6,1,5,1,5,1,7,1,6,1,5,1,3,没有出现人声,1,1,1,4,1,2,1,1,1,4,1,4,1,4,1,4,1,4,1,4,1,2,6,6,4,1,1,1,5,1,5,4,2,4,1,5,1,2,4,2,4,5,2,6,4,4,3,1,6,6,6,5,1,1,6,5,5,5,4,6,6,3,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,男,35-44岁,普通职员(公司/企业/事业单位/党政机关),上海市,上海市,0,0
nN6EPzRV4WR,oe4q6QmM,2025/4/4 23:29,2025/4/4 23:40,669,1,rQrY32,音乐片段感受调研问卷_见数数据库4,106.224.77.253,114.899027,25.866922,江西省,赣州市,MOBILE,Android,WeChat,400px*889px,"M4,I2,M2,S2,test1,S5,S4,M5,S1,C1,I4,U4,test2,C4,I1,C2,U2,S3,I3,U1,M3,C5,M1,C3,U3,I5,U5",1,7,10,3,1,5,1,5,1,7,1,5,1,5,1,5,1,5,1,3,1,4,1,5,10,3,1,5,1,5,1,5,1,1,没有出现人声,13,1,37,2,1,1,1,1,1,2,1,1,16,2,1,2,1,2,1,2,1,2,5,5,5,1,1,2,4,1,5,5,1,4,2,4,2,1,4,2,5,4,1,4,6,5,5,2,6,4,6,5,1,2,6,6,4,5,6,6,5,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),南昌,赣州,0,-1
mnmEa0kEvEp,Ke5nlBVM,2025/4/4 21:32,2025/4/4 21:48,995,1,rQrY32,音乐片段感受调研问卷_见数数据库4,106.46.235.241,112.966667,28.200001,河南省,郑州市,COMPUTER,Windows,Chrome,1920px*1080px,"C1,S3,U3,I4,U4,M2,C2,test2,S2,M4,test1,U5,I5,I1,S4,S5,U1,C5,I2,S1,U2,C3,M1,M5,M3,I3,C4",2,2,1,3,1,2,1,5,1,1,2,7,1,5,1,5,1,6,1,3,1,3,1,2,1,2,2,5,2,3,1,2,1,6,没有出现人声,1,7,1,7,1,6,2,6,1,5,2,6,2,6,3,7,1,7,1,7,1,1,6,5,4,1,1,2,6,1,6,5,2,6,2,6,1,2,6,1,5,5,2,5,5,5,5,2,5,5,6,6,1,2,5,6,5,5,5,6,4,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,18-25岁,商业/服务业从业人员,郑州市,郑州市,-1,0
XObQQXGVrv5,nePEqoAM,2025/4/4 21:28,2025/4/4 21:48,1186,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.66.252,112.476607,23.0035034,广东省,茂名市,COMPUTER,Windows,Chrome,1440px*900px,"C1,M4,M2,test1,U4,C4,S1,M3,S3,test2,U3,I4,S5,I1,M5,S4,U5,I3,C3,I5,I2,U1,C5,M1,S2,C2,U2",1,5,1,5,1,4,1,5,1,4,1,6,1,5,1,5,1,4,1,4,1,4,1,4,1,5,1,5,1,5,1,4,1,4,没有出现人声,1,4,1,4,1,4,1,4,1,5,1,4,1,4,1,4,1,5,1,5,1,3,4,5,5,3,1,3,3,3,4,4,4,2,2,5,4,5,3,2,4,3,4,3,5,4,4,3,4,4,4,6,3,3,5,4,3,3,4,4,4,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),广东省中山市,广东省肇庆市,1,0
XObQQ22GG58,p7YvO4xL,2025/4/4 21:28,2025/4/4 21:48,1175,1,rQrY32,音乐片段感受调研问卷_见数数据库4,117.10.94.159,117.149926,39.150107,天津市,市辖区,MOBILE,Android,WeChat,360px*780px,"U4,S3,S1,C5,U2,test1,C4,I5,S5,I2,test2,U1,M3,C3,S4,C2,I4,I3,M5,S2,C1,U3,U5,M4,M2,I1,M1",1,4,1,3,1,7,1,5,1,6,1,3,1,5,1,6,1,6,1,3,1,4,1,4,1,4,1,6,1,5,1,3,1,5,没有出现人声,1,5,1,5,1,6,1,5,1,6,1,5,1,4,1,3,1,5,1,5,1,2,5,5,5,3,1,5,6,2,3,4,5,6,2,4,6,3,6,2,4,2,3,5,5,3,2,4,4,5,5,4,5,2,5,5,4,2,6,5,4,3,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,男,25-34岁,普通职员(公司/企业/事业单位/党政机关),天津,天津,0,1
NRnxxKVdjbJ,oe4gb9DL,2025/4/4 21:28,2025/4/4 21:46,1106,1,rQrY32,音乐片段感受调研问卷_见数数据库4,42.225.14.38,114.020996,32.982405,河南省,驻马店市,MOBILE,Android,WeChat,375px*828px,"C2,U5,M3,I3,S3,M2,U3,U4,test1,M1,M5,I1,S4,U1,S5,test2,C3,C5,S2,S1,I2,I4,C4,C1,I5,U2,M4",1,5,1,6,1,4,1,5,1,3,1,5,1,5,1,5,1,4,1,3,1,3,1,5,1,5,1,6,1,4,1,3,1,6,没有出现人声,1,5,1,5,1,4,1,5,1,4,1,3,1,3,1,4,1,5,1,5,1,2,5,2,4,4,1,2,5,2,3,2,4,5,3,3,4,3,4,2,4,3,3,5,4,3,4,3,5,5,4,4,3,2,5,4,4,3,5,5,5,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,男,55-64岁,普通职员(公司/企业/事业单位/党政机关),河南省驻马店市,河南省驻马店市,1,0
lxzBqy1oqY2,xLV3pyRe,2025/4/4 21:28,2025/4/4 21:40,691,1,rQrY32,音乐片段感受调研问卷_见数数据库4,125.88.24.213,113.341029,23.171171,广东省,广州市,MOBILE,Android,Chrome,361px*801px,"test1,I5,U1,M2,S5,S1,S3,test2,U2,C3,S2,U5,I2,I3,C2,M3,M1,C4,I4,M5,C5,U4,M4,S4,I1,U3,C1",1,6,144,6,1,6,1,7,84,6,1,5,85,5,1,5,1,5,1,4,1,5,1,7,1,7,1,7,1,6,1,6,1,2,没有出现人声,1,2,1,2,64,2,1,2,1,3,106,1,1,2,91,4,1,2,1,3,1,2,5,6,4,5,1,3,4,3,5,2,3,4,3,4,5,2,6,4,5,3,2,5,6,4,4,3,6,4,5,5,2,2,5,5,2,4,6,4,5,4,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，但每天 1~2 小时左右,男,35-44岁,领导干部(公司/企业/事业单位/党政机关),广州,广州,0,-1
XObQdwOBb35,kM1j59D7,2025/4/4 21:29,2025/4/4 21:38,538,1,rQrY32,音乐片段感受调研问卷_见数数据库4,123.101.245.22,112.527486,32.990539,河南省,郑州市,MOBILE,Android,Chrome,393px*873px,"I1,M3,U4,S1,I4,U1,M2,C2,C4,S3,S2,S5,M5,M1,I3,test2,U3,S4,U2,C1,test1,I2,C5,M4,I5,C3,U5",1,5,1,4,1,5,1,7,1,5,1,7,1,6,1,5,1,5,1,5,1,5,1,6,1,4,2,3,1,5,1,3,2,5,没有出现人声,1,6,1,6,2,6,1,5,2,5,1,6,1,5,1,7,1,3,1,5,1,3,5,5,5,2,1,2,5,4,5,5,4,5,3,5,3,2,5,3,5,5,3,5,3,3,5,3,5,4,5,5,2,2,5,5,5,3,4,4,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),广州,广州,0,1
nN6EgA8o8RR,2Md8gEmM,2025/4/4 20:26,2025/4/4 20:48,1288,1,rQrY32,音乐片段感受调研问卷_见数数据库4,1.83.68.162,109.222948,34.590045,陕西省,西安市,MOBILE,Android,Chrome,360px*800px,"S3,I4,U4,M4,M2,S5,U5,M3,S4,U3,I1,C2,C3,U1,I5,C1,test1,S2,M5,I3,C4,test2,C5,S1,U2,I2,M1",1,5,1,5,1,3,1,7,1,6,1,5,1,4,1,5,1,5,1,6,1,6,1,5,1,3,1,6,1,5,1,6,1,4,没有出现人声,1,3,1,2,1,4,1,2,1,5,1,5,1,5,1,5,1,5,1,4,1,1,5,4,4,4,1,2,5,2,4,3,5,5,2,3,5,5,5,2,5,4,4,5,5,3,5,2,5,4,5,5,4,2,5,5,4,4,5,4,4,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,男,55-64岁,普通职员(公司/企业/事业单位/党政机关),重庆,陕西,0,0
nN6ERjkOpPd,J7BGKVZL,2025/4/4 20:20,2025/4/4 20:38,1066,1,rQrY32,音乐片段感受调研问卷_见数数据库4,111.55.25.108,115.068067,38.944964,河北省,保定市,MOBILE,Android,Chrome,412px*892px,"U2,test2,I3,C1,I4,U4,S4,S3,U3,M3,C2,I5,S5,S2,U5,C4,M1,C3,U1,C5,M5,I2,M2,M4,I1,S1,test1",1,6,2,6,1,4,1,5,1,5,1,6,1,5,1,4,1,4,1,4,1,4,1,3,1,6,1,6,1,7,1,7,1,3,没有出现人声,1,3,1,2,1,1,1,3,1,6,1,6,1,5,1,5,1,4,1,5,1,3,5,5,4,6,1,2,6,3,3,2,3,5,3,2,6,3,4,3,3,2,4,5,5,2,1,5,5,4,5,2,3,2,4,6,2,2,5,5,4,2,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里有3~5天会听音乐，每次时长不限,女,35-44岁,普通职员(公司/企业/事业单位/党政机关),保定,北京市,0,1
Q4x6dlngj14,9LQw24QM,2025/4/4 19:58,2025/4/4 20:37,2374,1,rQrY32,音乐片段感受调研问卷_见数数据库4,183.9.102.95,113.454301,23.189189,广东省,广州市,MOBILE,Android,Chrome,361px*801px,"S3,U3,C5,C1,test2,S5,I2,C3,test1,I1,S4,U4,M5,U1,C2,U5,I4,M2,M3,I3,S1,S2,U2,M4,M1,I5,C4",1,5,1,5,1,3,1,5,1,5,1,6,2,5,1,6,1,5,1,3,1,4,1,4,1,5,1,4,1,6,1,4,1,6,没有出现人声,1,2,1,5,1,3,1,5,1,3,1,6,1,5,1,6,1,2,1,3,1,2,5,6,6,2,1,3,4,3,5,5,6,4,2,6,3,2,6,5,5,4,2,5,6,5,4,3,4,5,5,4,2,3,4,5,6,3,5,4,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),中山,广州,1,1
lxzBK61DP5W,aMgzo8ne,2025/4/4 20:12,2025/4/4 20:34,1334,1,rQrY32,音乐片段感受调研问卷_见数数据库4,123.147.251.149,106.59293,29.668816,重庆市,市辖区,COMPUTER,Windows,Chrome,1280px*720px,"M4,M5,U5,M2,C3,I3,S3,I5,U2,I4,S2,I2,M1,U4,S5,C2,S4,test2,U1,C5,I1,U3,M3,C1,S1,test1,C4",1,6,1,4,1,5,1,6,1,6,1,5,1,5,1,5,1,5,1,6,1,4,1,5,1,6,1,5,1,5,1,5,2,2,没有出现人声,1,1,1,2,1,2,1,2,1,3,1,4,1,3,1,4,1,4,1,2,1,2,5,4,4,4,1,3,5,3,4,3,3,5,4,3,5,3,5,4,3,3,3,3,4,4,3,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,女,18-25岁,初高中学生/大学生/研究生/博士,河南省周口市,重庆,0,1
