作答ID,用户ID,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,音乐A,您对音频A的感受评价是？,音乐B,您对音频B的感受评价是？,音乐C,您对音频C的感受评价是？,音乐D,您对音频D的感受评价是？,音乐E,您对音频E的感受评价是？,音乐F,您对音频F的感受评价是？,音乐G,您对音频G的感受评价是？,音乐H,您对音频H的感受评价是？,音乐I,您对音频I的感受评价是？,音乐J,您对音频J的感受评价是？,音乐Z,您对音频Z的感受评价是？,音乐K,您对音频K的感受评价是？,音乐L,您对音频L的感受评价是？,音乐M,您对音频M的感受评价是？,音乐N,您对音频N的感受评价是？,音乐O,您对音频O的感受评价是？,音乐P,您对音频P的感受评价是？,在刚才的音频片段中，你是否听到了人声演唱或说唱？如果有，请判断主要是男声还是女声。,音乐Q,您对音频Q的感受评价是？,音乐R,您对音频R的感受评价是？,音乐S,您对音频S的感受评价是？,音乐T,您对音频T的感受评价是？,音乐U,您对音频U的感受评价是？,音乐V,您对音频V的感受评价是？,音乐v,您对音频v的感受评价是？,音乐W,您对音频W的感受评价是？,音乐X,您对音频X的感受评价是？,音乐Y,您对音频Y的感受评价是？,下面是一些描述人们性格特点的句子，请根据每个句子与您的性格相符程度选择相应的数字。??例如：“在集体活动中，我是个活跃分子”非常恰当的描述您，那么请您在“6=完全同意”上画圈，依此类推。每个人的性格各不相同，所以答案没有对错之分，请根据您的实际情况作答。1=完全不符合，2=大部分不符合，3=有点不符合，4=有点符合，5=大部分符合，6=完全符合,我常感到害怕,一旦确定了目标，我会坚持努力地实现它,我觉得大部分人基本上是心怀善意的,我头脑中经常充满生动的画面,我对人多的聚会感到乏味,此题请选择1,有时我觉得自己一无是处,我常常是仔细考虑之后才做出决定,我不太关心别人是否受到不公正的待遇,我是个勇于冒险，突破常规的人,在热闹的聚会上，我常常表现主动并尽情玩耍,别人一句漫不经心的话，我常会联系在自己身上,别人认为我是个慎重的人,我时常觉得别人的痛苦与我无关,我喜欢冒险,我尽量避免参加人多的聚会和嘈杂的环境,在面对压力时，我有种快要崩溃的感觉,我喜欢一开头就把事情计划好,我是那种只照顾好自己，不替别人担忧的人,我对许多事情有着很强的好奇心,有我在的场合一般不会冷场,我常担忧一些无关紧要的事情,我工作或学习很勤奋,虽然社会上有些骗子，但我觉得大部分人还是可信的,我身上具有别人没有的冒险精神,在一个团体中，我希望处于领导地位,我常常感到内心不踏实,我是个倾尽全力做事的人,当别人向我诉说不幸时，我常感到难过,我渴望学习一些新东西，即使它们与我的日常生活无关,别人多认为我是一个热情和友好的人,我常担心有什么不好的事情要发生,在工作上，我常只求能应付过去便可,尽管人类社会存在着一些阴暗的东西（如战争、罪恶、欺诈），我仍然相信人性总的来说是善良的,我的想象力相当丰富,我喜欢参加社交与娱乐聚会,我很少感到忧郁或沮丧,做事讲究逻辑和条理是我的一个特点,我常为那些遭遇不幸的人感到难过,我很愿意也很容易接受那些新事物、新观点、新想法,我希望成为领导者而不是被领导者,请问您在音乐知识或演奏技能方面的熟悉程度如何？,您对音乐的接触频率是？,您的性别是？,您的年龄是？,您的主要职业是？,您从小到18岁主要在哪个城市/地区生活？,您目前或过去半年主要居住地是哪里？,,
NRQkX1qBOnr,p7YzDRmL,2025/3/21 18:00,2025/3/21 18:12,740,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,58.246.155.208,121.450327,31.143299,上海市,市辖区,MOBILE,Android,Chrome,412px*915px,"C3,S1,U5,U3,U2,I3,test2,M3,test1,S3,C1,I1,M2,S2,S4,U1,M5,C2,I4,S5,I2,M4,I5,U4,C5,M1,C4",1,5,1,4,1,3,1,3,1,3,1,5,1,5,3,5,1,7,2,5,1,5,1,6,1,5,1,6,1,5,1,4,1,7,出现了男声,1,5,1,7,1,6,1,7,1,6,1,4,1,4,1,5,1,5,1,7,1,3,5,4,4,2,1,2,6,1,5,6,2,4,3,6,3,2,4,1,4,6,1,5,6,6,5,2,5,4,5,5,1,2,6,6,5,6,6,6,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,25-34岁,工厂技术人员/工厂主管,上海,上海,0,0
lxOdGkzpK29,9LQ8JJb7,2025/3/21 17:55,2025/3/21 18:12,1006,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,39.144.95.53,112.559389,37.888722,山西省,太原市,MOBILE,Android,WeChat,400px*894px,"M1,C3,S3,C5,I5,M2,U1,U3,I2,test1,test2,C2,S2,I1,C1,M3,C4,S1,I4,U5,U4,M4,M5,U2,S4,I3,S5",1,4,2,4,2,5,1,2,1,2,1,3,1,3,1,2,1,5,1,5,1,4,1,3,1,3,1,3,1,2,1,2,1,6,出现了男声,1,5,1,5,1,6,1,6,1,5,2,6,1,6,16,5,1,5,3,3,1,2,4,4,4,2,1,1,5,1,4,4,2,5,2,5,2,2,5,2,4,4,2,5,4,5,4,3,5,4,5,5,2,2,5,4,4,5,4,5,4,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),山西省太原市,山西省太原市,0,1
NRQkXxK1AYr,JekJz6NL,2025/3/21 17:40,2025/3/21 18:12,1885,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,14.28.28.47,112.433996,22.953163,广东省,肇庆市,MOBILE,iOS,WeChat,414px*736px,"C5,S2,U5,S3,I5,C2,I3,S4,M2,U3,I4,U4,test1,C3,I1,M5,M1,U2,S5,C4,U1,I2,S1,M4,test2,M3,C1",1,6,1,6,1,5,2,4,1,6,1,7,1,5,1,7,1,7,1,6,1,5,1,5,1,6,1,6,1,4,1,6,1,6,出现了男声,1,5,1,6,1,6,1,7,1,5,1,5,1,6,1,5,1,6,1,7,1,2,5,5,6,1,1,1,4,2,5,6,3,5,2,5,4,2,5,1,5,5,2,5,6,6,6,2,4,1,3,5,2,1,6,5,5,6,6,5,4,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),深圳市,广州市,-1,1
bNqr3jgJ6lk,KLOK4EXL,2025/3/21 17:55,2025/3/21 18:12,978,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,112.30.245.19,117.2772718,31.8710932,安徽省,合肥市,COMPUTER,Windows,Chrome,1920px*1080px,"S1,S5,C4,test2,I2,I5,S2,M3,U4,M4,C2,U2,S4,C3,M1,S3,U1,U3,C5,I3,I1,I4,U5,M2,M5,C1,test1",1,4,1,2,1,4,1,5,1,4,1,7,1,7,1,6,1,7,1,5,1,6,1,5,1,6,1,5,1,7,1,7,1,6,出现了男声,1,3,1,4,1,2,1,7,1,7,1,6,1,6,1,6,1,6,1,4,1,1,6,6,6,1,1,1,5,2,6,5,1,6,2,6,1,1,5,1,5,5,2,6,5,6,5,1,6,6,5,5,2,1,6,6,5,6,5,6,5,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,45-54岁,商业/服务业从业人员,安徽合肥,安徽合肥,0,-1
oB1ZmnRxQ06,veEqjlKe,2025/3/21 17:49,2025/3/21 18:11,1338,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,113.122.135.97,119.478409,35.387387,山东省,日照市,MOBILE,Android,Chrome,360px*800px,"test1,I4,M5,S3,C3,U4,S2,C4,M3,C1,M4,C5,test2,I5,U1,I1,U5,M2,I2,S4,M1,C2,S5,U2,U3,S1,I3",1,6,1,6,1,6,1,6,1,7,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,出现了男声,1,5,1,5,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,5,6,5,2,1,2,5,2,6,5,2,5,2,5,4,2,6,1,5,5,2,6,6,5,6,2,5,2,5,5,2,1,6,6,5,6,5,5,5,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),青岛市,青岛市,0,0
lxOdGbolp9W,J7Baj4dM,2025/3/21 17:44,2025/3/21 18:11,1583,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,14.26.171.78,110.813831,21.657658,广东省,佛山市,MOBILE,Android,Chrome,362px*795px,"M5,C4,test1,C2,I2,I1,M4,U2,I4,test2,C3,M2,U3,S2,M3,S4,C1,U5,S1,S3,C5,S5,U4,I5,U1,M1,I3",1,6,1,2,1,4,1,2,1,5,1,5,1,4,1,4,1,6,1,5,1,4,1,4,1,3,1,5,1,4,1,3,1,6,出现了男声,1,2,1,5,1,4,1,6,1,5,1,6,1,5,1,7,1,5,1,7,1,2,5,5,5,3,1,4,6,3,4,4,5,5,3,5,3,4,5,3,5,5,5,4,4,4,3,2,5,4,6,6,4,2,4,5,4,3,6,5,5,3,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,18-25岁,初高中学生/大学生/研究生/博士,广东深圳,广东深圳,1,1
oB1ZmlX0800,kMrWj667,2025/3/21 17:40,2025/3/21 18:11,1818,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,223.104.65.177,112.311861,22.649143,广东省,云浮市,MOBILE,iOS,WeChat,414px*736px,"M5,C4,M4,S5,test1,I1,S4,U1,I5,S3,U3,U5,M2,I4,I3,U4,S1,M1,I2,C3,C5,C1,S2,test2,C2,U2,M3",1,7,1,5,1,6,1,6,1,6,1,5,1,7,2,6,1,7,3,6,1,6,1,5,1,7,1,6,1,4,1,6,1,6,出现了男声,1,6,1,5,1,7,1,5,1,6,1,6,1,6,1,7,1,5,1,6,1,2,5,5,5,2,1,1,5,2,5,5,3,4,1,6,5,1,5,2,5,5,2,6,6,5,5,2,5,5,2,5,1,2,5,6,5,6,4,4,6,6,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),珠海市,广州市,0,0
XOA64DNr19o,oe4BJ1m7,2025/3/21 17:47,2025/3/21 18:10,1395,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,39.144.43.55,121.410558,31.217649,上海市,市辖区,MOBILE,Android,Chrome,360px*800px,"M2,S4,I1,M5,S5,U1,I4,M1,I2,C1,I5,U3,U5,test1,C5,C2,U4,U2,I3,M3,C3,test2,S1,S2,C4,M4,S3",1,5,1,5,1,6,1,5,1,5,1,6,1,5,1,5,1,6,1,6,1,7,1,4,1,6,1,5,4,7,1,6,1,6,出现了男声,1,2,1,3,1,4,1,5,1,3,1,7,1,7,1,6,1,5,1,7,1,1,6,6,5,5,1,1,5,2,2,2,3,6,2,3,5,1,5,1,4,3,1,5,5,2,4,1,6,5,5,4,1,2,6,5,5,6,6,4,5,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,男,35-44岁,领导干部(公司/企业/事业单位/党政机关),上海,上海,0,-1
nN9xoJ4BPWm,BMDZbJqL,2025/3/21 17:44,2025/3/21 18:10,1579,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,45.123.238.11,113.339748,23.298337,广东省,广州市,MOBILE,Android,Chrome,360px*780px,"U1,U2,U5,test2,M5,C5,S3,M3,C2,M2,C3,C4,S2,I1,S1,I5,C1,U3,M1,I3,I2,M4,S5,I4,test1,U4,S4",1,5,1,6,1,4,1,5,1,7,1,5,1,5,1,7,1,5,1,7,1,6,1,6,1,6,2,6,1,5,1,6,1,4,出现了男声,1,1,1,1,1,3,1,3,1,1,1,5,1,6,1,5,2,3,1,5,1,6,4,6,6,6,1,6,5,5,1,1,4,5,3,1,6,4,5,1,4,5,5,5,3,2,2,4,5,6,5,2,5,5,5,6,2,2,6,5,4,1,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),惠州,广州,-1,1
Q482kNyroNA,AM9xX3Re,2025/3/21 17:51,2025/3/21 18:10,1107,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,223.160.226.168,113.220398,23.063063,广东省,广州市,MOBILE,Android,Chrome,377px*831px,"S4,S3,U3,S5,M4,C1,I4,I2,I3,C5,S1,M5,I1,C2,I5,S2,test2,C3,M1,C4,M3,U2,U1,U5,U4,M2,test1",1,4,1,3,1,3,1,6,1,7,1,4,1,6,1,7,1,3,1,7,1,6,1,5,1,6,1,6,1,7,1,6,1,2,出现了男声,1,1,1,2,1,1,1,2,1,2,1,6,1,7,1,5,1,5,1,6,1,1,4,5,4,2,1,2,5,2,3,2,2,5,2,3,3,3,5,2,5,3,3,5,5,3,4,2,5,4,4,6,2,2,5,4,4,5,5,5,5,4,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,18岁以下,初高中学生/大学生/研究生/博士,广东省广州市,广东省广州市,-1,1
mn9oVN80224,veEogjW7,2025/3/21 17:44,2025/3/21 18:09,1547,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,171.108.63.117,110.17945,25.258601,广西壮族自治区,桂林市,MOBILE,Android,Chrome,363px*798px,"M3,M4,U1,M2,I5,S2,U3,C3,C2,I4,test2,C4,U2,I3,test1,C5,S1,S4,M5,S3,I1,U5,S5,U4,C1,I2,M1",1,4,1,5,1,6,1,7,1,3,1,4,1,6,1,4,1,4,1,4,1,4,1,3,1,4,1,5,1,5,1,3,1,5,出现了男声,1,3,1,5,1,3,1,6,1,4,1,5,1,5,1,6,1,4,1,6,1,4,4,5,4,3,1,3,5,3,4,4,4,5,3,3,3,4,5,1,4,4,3,4,5,4,2,4,4,5,4,4,4,2,5,3,3,3,4,6,4,2,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),桂林,上海,0,0
WPWm23XbxVP,2Md3VrQe,2025/3/21 17:44,2025/3/21 18:09,1520,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,39.144.157.72,120.398138,31.621622,江苏省,无锡市,MOBILE,Android,Chrome,360px*800px,"S1,M5,S2,S5,C5,U2,I5,I1,I4,S4,S3,C4,M4,U1,I2,U3,test2,U5,U4,M3,M2,M1,test1,I3,C2,C1,C3",1,6,1,4,1,5,1,4,1,4,1,5,1,4,1,5,1,5,1,6,1,5,1,3,1,4,1,5,1,4,1,4,1,6,出现了男声,1,4,1,3,1,4,1,5,1,3,1,7,1,6,1,5,1,4,1,6,1,2,6,5,6,3,1,4,4,4,5,4,4,5,4,4,3,3,5,1,4,5,4,5,5,3,5,2,4,5,6,5,3,3,6,5,6,5,6,5,5,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,女,45-54岁,领导干部(公司/企业/事业单位/党政机关),江苏,上海,1,1
WPWm2pyaNb0,0eyjBNnM,2025/3/21 17:55,2025/3/21 18:09,798,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,121.204.170.185,118.1226075,24.4829228,福建省,厦门市,COMPUTER,Windows,Chrome,1920px*1080px,"I5,U2,I4,U1,U3,I3,test1,M2,S1,M1,U4,I1,M3,U5,M4,C3,M5,S4,C1,I2,S2,S5,C2,C5,test2,S3,C4",1,7,1,4,1,5,1,4,1,4,1,6,1,7,1,7,1,7,1,7,1,7,1,6,1,7,1,7,1,6,1,7,1,6,出现了男声,1,3,1,4,1,3,1,6,1,5,1,6,1,7,1,6,1,5,1,7,1,1,5,5,6,1,1,1,6,2,5,6,1,6,2,6,2,2,6,2,5,5,2,6,6,5,6,1,6,5,5,6,2,1,6,5,6,6,6,6,5,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，但每天 1~2 小时左右,男,35-44岁,商业/服务业从业人员,福建福州,福建厦门,-1,0
mn9oVoEQEXK,27aJAQpL,2025/3/21 17:44,2025/3/21 18:09,1475,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,120.228.202.237,111.702878,29.05901,湖南省,常德市,MOBILE,Android,Chrome,360px*770px,"C2,M5,C5,M3,C3,I5,test1,M4,I1,S2,C4,U1,S4,C1,I3,M1,M2,U4,I4,U5,test2,I2,S3,U2,S5,U3,S1",1,5,1,4,1,4,1,4,1,4,1,5,1,6,1,6,1,6,1,5,1,5,1,4,1,7,1,4,1,6,1,3,1,4,出现了男声,1,3,1,3,1,3,1,3,1,4,1,3,1,2,1,3,1,4,1,3,1,3,5,5,4,5,1,2,5,3,4,4,4,5,2,5,5,3,6,2,5,5,3,5,5,5,5,3,5,5,5,5,3,2,5,4,4,5,5,6,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,女,45-54岁,个体经营/私营企业/创业公司老板,湖南省常德市武陵区,湖南省常德市武陵区,1,0
WPWm2JPg3o4,37KmRDKe,2025/3/21 17:43,2025/3/21 18:08,1502,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,116.112.121.196,107.4154766,40.7374149,内蒙古自治区,巴彦淖尔市,MOBILE,iOS,Apple WebKit,430px*932px,"test2,U1,S2,S1,I4,U2,M1,M4,S3,I3,I2,C5,U3,I1,M2,C3,U4,M5,test1,S5,I5,C1,C4,C2,U5,M3,S4",1,7,1,6,1,5,1,7,1,5,1,7,1,7,1,7,1,6,1,7,1,6,1,6,1,7,1,7,1,6,1,7,1,6,出现了男声,1,4,1,4,1,4,1,5,1,5,1,6,1,6,1,6,1,5,1,7,1,2,5,4,4,3,1,2,5,3,3,4,2,4,4,4,3,2,4,4,4,3,2,5,4,4,4,2,4,4,5,5,2,2,4,4,4,5,2,4,4,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，且每天超过 2 小时,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),上海徐汇,上海徐汇,0,1
nN9xo6xvNrW,nePbXNd7,2025/3/21 17:43,2025/3/21 18:08,1479,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,111.18.70.51,108.017244,34.205044,陕西省,宝鸡市,MOBILE,Android,Chrome,393px*873px,"I2,M1,C3,U1,S1,M2,S2,S5,I3,U2,I4,S3,U5,M3,test2,M4,I5,S4,C4,test1,C2,U4,I1,C5,C1,U3,M5",1,6,1,5,1,2,1,6,1,2,1,5,1,5,1,6,1,7,1,6,1,6,1,5,1,6,1,6,1,6,1,6,1,7,出现了男声,3,5,1,6,1,5,1,7,1,7,1,6,1,6,1,5,1,2,1,6,1,1,5,6,5,1,1,1,6,1,5,5,2,5,5,5,1,1,5,2,2,5,1,6,5,5,6,1,6,2,5,5,1,1,6,2,5,6,5,2,6,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，但每天 1~2 小时左右,女,35-44岁,个体经营/私营企业/创业公司老板,杭州,杭州,0,0
nN9xo654KrN,BMD2pglL,2025/3/21 17:49,2025/3/21 18:08,1105,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,171.208.47.223,106.636322,31.805725,四川省,巴中市,MOBILE,Android,Chrome,600px*1000px,"test2,S4,test1,I4,C4,M5,I1,M3,S3,U3,S1,U5,M4,S2,C3,I3,C5,I5,U2,M2,C1,I2,M1,U1,U4,S5,C2",1,6,1,6,1,6,1,4,1,5,1,5,1,5,1,5,1,4,1,5,1,6,1,3,1,5,1,5,1,5,1,6,1,3,出现了男声,1,1,1,2,1,1,1,2,1,2,1,6,1,7,1,6,1,4,1,7,1,1,5,5,4,2,1,1,5,2,3,4,1,4,2,4,1,1,5,1,3,4,1,5,4,3,4,1,5,3,4,4,1,1,4,5,4,5,5,5,4,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,女,25-34岁,自由职业(作家/自媒体/主播/代练玩家等),四川省成都市,成都,-1,-1
XOA64AXXx5j,8MZ2gaKM,2025/3/21 17:43,2025/3/21 18:08,1496,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,183.46.72.166,113.23384,23.076292,广东省,广州市,MOBILE,Android,WeChat,393px*873px,"M2,S5,S1,C4,C1,U3,I1,I4,U2,I3,C5,test2,I5,U5,test1,U1,M3,M1,I2,C3,U4,S2,M5,C2,M4,S4,S3",1,4,1,4,1,4,1,3,1,3,1,3,1,5,1,6,1,3,1,5,1,4,2,5,1,6,1,5,1,5,1,5,1,2,出现了男声,1,1,1,2,1,3,1,3,1,3,1,4,1,4,1,4,1,3,1,5,1,1,6,6,5,2,1,1,6,3,3,4,1,5,3,3,3,2,6,2,5,4,2,5,5,3,4,1,6,5,6,4,2,1,5,4,5,5,5,4,5,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,女,35-44岁,普通职员(公司/企业/事业单位/党政机关),江苏南京,南京,0,1
Q482k8jkoPb,qM6lgWRL,2025/3/21 17:43,2025/3/21 18:08,1482,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,14.26.128.53,116.081996,24.265195,广东省,梅州市,MOBILE,iOS,WeChat,414px*896px,"U5,S3,S2,S4,U1,M3,U3,test1,I3,C5,M4,S5,C4,C2,S1,U4,M2,C3,C1,U2,M1,I5,test2,I1,I2,I4,M5",1,6,1,7,2,6,1,5,1,6,1,6,1,6,1,5,1,6,1,5,1,6,1,6,1,7,1,6,1,6,1,6,1,6,出现了男声,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,2,5,5,6,1,1,2,5,2,6,5,2,5,1,5,2,2,5,2,6,5,2,5,5,5,5,2,6,5,5,5,2,2,5,5,5,5,6,5,5,6,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),广东省广州市,广东省广州市,0,-1
Q482GE0qqKB,veEPDbAL,2025/3/21 17:45,2025/3/21 18:07,1368,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,27.187.43.162,115.839178,39.171758,河北省,保定市,MOBILE,Android,Chrome,360px*800px,"I2,S3,C2,M1,U3,C1,I1,S5,C4,S4,U5,U1,I4,U4,C5,U2,C3,M3,S2,I5,M2,I3,M5,test2,S1,M4,test1",1,6,1,5,1,5,1,5,1,5,2,5,1,5,1,5,1,4,1,5,1,5,1,5,1,6,1,4,1,5,1,5,1,6,出现了男声,2,5,1,6,1,6,1,7,1,7,1,6,1,6,1,7,1,5,1,6,1,2,5,6,5,2,1,3,5,2,5,6,4,3,2,5,2,2,5,2,6,6,3,5,4,5,5,2,6,4,5,6,1,2,5,6,5,5,5,5,5,6,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,35-44岁,工厂基层员工/制造业/建筑业工人,上海,上海,0,0
oB1ZNDGO9AK,z7ArV4yL,2025/3/21 17:44,2025/3/21 18:07,1385,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,39.144.143.77,105.060954,29.6079949,四川省,内江市,MOBILE,iOS,Apple WebKit,393px*852px,"test1,C1,I3,U4,U5,C2,U2,S1,M1,I4,S4,I2,I1,S3,I5,C3,C4,S5,M5,U1,M2,U3,C5,M4,test2,S2,M3",1,5,1,4,1,4,1,3,1,5,1,3,1,5,1,5,1,3,1,5,1,6,1,3,1,5,1,4,1,4,1,5,1,3,出现了男声,1,1,1,2,1,1,1,3,1,1,1,2,1,2,1,5,1,3,1,4,1,2,6,4,6,2,1,1,6,3,6,6,2,5,2,5,5,3,6,1,4,6,1,5,5,4,5,2,5,6,5,6,3,1,5,6,5,4,5,6,4,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,女,18-25岁,普通职员(公司/企业/事业单位/党政机关),四川省内江市,四川省内江市,0,-1
Q482Gy2Jj14,nePq1XnM,2025/3/21 17:44,2025/3/21 18:07,1348,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,106.16.203.86,110.441048,29.153153,湖南省,张家界市,MOBILE,Android,Chrome,360px*800px,"I3,M2,U4,S2,I5,C2,C3,M3,S5,S3,test1,U5,C4,U1,test2,S4,M4,U3,C1,M1,I4,M5,I1,U2,S1,I2,C5",1,6,1,6,1,5,1,6,1,5,1,5,1,7,1,6,1,6,1,5,1,6,1,6,1,7,1,6,1,7,1,5,2,5,出现了男声,1,2,1,2,1,2,1,3,1,3,1,5,1,5,1,4,1,5,1,4,1,2,5,6,4,3,1,1,6,2,4,4,3,4,3,4,4,2,5,2,4,5,1,6,6,4,5,2,6,3,4,6,2,2,5,4,5,5,4,5,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,男,18-25岁,初高中学生/大学生/研究生/博士,娄底市娄星区,张家界永定区,0,-1
mn9opwDx1Pp,0ey4AqPL,2025/3/21 17:43,2025/3/21 18:06,1382,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,153.118.18.173,116.098156,37.199675,山东省,德州市,MOBILE,iOS,WeChat,414px*896px,"M5,C5,M3,S3,I4,I3,U2,C3,C2,U1,S4,I1,I2,C4,test2,I5,M2,S1,M4,M1,test1,U5,U3,U4,S2,S5,C1",1,6,1,6,1,6,1,6,1,6,1,6,1,7,1,7,2,7,1,6,1,6,1,6,1,6,1,6,1,7,1,6,1,6,出现了男声,1,6,1,6,2,6,1,5,1,6,1,6,1,6,1,6,1,6,1,6,1,2,5,5,5,2,1,1,6,2,5,5,2,5,1,4,5,2,6,1,4,6,2,5,6,5,5,2,6,5,6,6,2,2,6,5,5,6,5,5,6,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),济南市,北京市,0,0
bNqrddXzwYl,ve8xEaxe,2025/3/21 17:43,2025/3/21 18:06,1374,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,39.144.133.129,108.280035,22.774775,广西壮族自治区,南宁市,MOBILE,Android,Chrome,360px*800px,"I5,I1,M4,I3,M5,U4,C1,C4,U2,M3,M2,S3,C2,I4,S2,S5,M1,U1,C5,S1,S4,test2,test1,U5,C3,U3,I2",1,7,1,4,1,5,1,5,1,5,1,6,1,6,1,5,1,5,1,6,1,7,1,5,1,7,1,7,1,6,1,5,1,3,出现了男声,1,1,1,3,1,2,1,4,1,3,1,6,1,6,1,5,1,5,1,6,1,3,6,4,5,3,1,2,5,3,3,3,4,5,3,1,2,4,4,4,5,3,3,5,5,3,4,2,5,6,6,5,4,2,6,4,4,4,4,5,5,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天 1~2 小时左右,女,35-44岁,普通职员(公司/企业/事业单位/党政机关),深圳,深圳,0,-1
